video,female,male
Hod_sjo_FM_150_A_02,175.70137558329023,161.72631583971378
Hod_sjo_FM_150_A_03,177.9167994554805,168.40592387897516
Hod_sjo_FM_150_A_05,178.79888366721357,171.34182345183478
Hod_sjo_FM_150_A_06,191.35901621075374,165.2985537225179
Hod_sjo_FM_150_A_07,182.83886963361192,171.98572553979616
Hod_sjo_FM_150_A_08,185.61342118767107,170.75210180134525
Hod_sjo_FM_150_A_09,185.6579220792368,166.45947867632714
Hod_sjo_FM_150_A_10,176.63749624004922,164.3933854625776
Hod_sjo_FM_150_A_14,186.31803217328445,172.0652233786918
Hod_sjo_FM_150_A_15,175.27463778157323,164.1245457314107
Hod_sjo_FM_90_A_02,278.13825589020144,256.13574524114085
Hod_sjo_FM_90_A_03,299.51780072551435,281.37177673762824
Hod_sjo_FM_90_A_05,293.99525465258927,275.59712459240507
Hod_sjo_FM_90_A_06,298.91869326790857,282.94064448282904
Hod_sjo_FM_90_A_07,315.43483768829685,263.47330589350076
Hod_sjo_FM_90_A_08,283.2138113506612,248.8455911637857
Hod_sjo_FM_90_A_09,288.1005946364407,269.0589362582965
Hod_sjo_FM_90_A_10,298.6233444814154,280.04990686499525
Hod_sjo_FM_90_A_14,289.0365013015716,270.4785239642715
Hod_sjo_FM_90_A_15,289.2524667025807,272.0540803832086
