"video","switches","dish_size"
"Hod_sjo_FM_150_A_02",1,"150 mm"
"Hod_sjo_FM_150_A_03",2,"150 mm"
"Hod_sjo_FM_150_A_05",1,"150 mm"
"Hod_sjo_FM_150_A_06",0,"150 mm"
"Hod_sjo_FM_150_A_07",2,"150 mm"
"Hod_sjo_FM_150_A_08",0,"150 mm"
"Hod_sjo_FM_150_A_09",1,"150 mm"
"Hod_sjo_FM_150_A_10",0,"150 mm"
"Hod_sjo_FM_150_A_14",0,"150 mm"
"Hod_sjo_FM_150_A_15",0,"150 mm"
"Hod_sjo_FM_90_A_02",0,"90 mm"
"Hod_sjo_FM_90_A_03",2,"90 mm"
"Hod_sjo_FM_90_A_05",1,"90 mm"
"Hod_sjo_FM_90_A_06",2,"90 mm"
"Hod_sjo_FM_90_A_07",1,"90 mm"
"Hod_sjo_FM_90_A_08",0,"90 mm"
"Hod_sjo_FM_90_A_09",0,"90 mm"
"Hod_sjo_FM_90_A_10",1,"90 mm"
"Hod_sjo_FM_90_A_14",0,"90 mm"
"Hod_sjo_FM_90_A_15",1,"90 mm"
